Park_Name,Width_ft,Class,Surface,Gen_Topog,Difficulty,Trail_Name,ParkID,TrailMarkersInstalled,Latitude,Longitude
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Wavy, flat terrain  uneven treadway  slight elevation change,N/A,Q020,No,-73.89142328286339,40.68604275177286
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.89142328286339,40.68604275177286
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.8933217163303,40.685356790135494
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.89281806996978,40.684241604960384
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.89282475978078,40.68421566016316
Highland Park,4 feet to less than 6 feet,Class IV : Highly Developed,Concrete,Wavy, flat terrain  uneven treadway  slight elevation change,N/A,Q020,No,-73.89281806996978,40.684241604960384
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.89282475978078,40.68421566016316
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.89366865179811,40.68514983893683
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.89332219765505,40.68534578539501
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.89262711275427,40.68469651725779
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,Blue/Orange,Q020,No,-73.89047704078808,40.68535042568334
Highland Park,4 feet to less than 6 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.88930707158413,40.685700499613354
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.88970817019639,40.68576959129656
Highland Park,4 feet to less than 6 feet,Class IV : Highly Developed,Paved,Level, flat and smooth,N/A,Q020,No,-73.89047704078808,40.68535042568334
Highland Park,4 feet to less than 6 feet,Class V : Fully Developed,Paved,Wavy, flat and smooth,N/A,Q020,No,-73.889702629256,40.684374232474134
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.88676267134271,40.68493676317495
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.8888666844417,40.68315752086595
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.8888666844417,40.68315752086595
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat terrain  uneven treadway  slight elevation change,N/A,B047,No,-73.88676267134271,40.68493676317495
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.88888022154944,40.68405636824633
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Wavy, flat terrain  uneven treadway  slight elevation change,N/A,B047,No,-73.88904864195189,40.684021498942876
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Sloped, flat terrain  uneven treadway  slight elevation change,N/A,B047,No,-73.88937927618646,40.68425219682061
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Wavy, flat and smooth,N/A,B047,No,-73.88308252578358,40.68514964937889
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.88304760136008,40.68508088751685
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.883838021151,40.686288228992765
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.88440154282843,40.68616202744652
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Wavy, flat and smooth,N/A,B047,No,-73.884204386019,40.68667242539752
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.89377944434207,40.685118268367255
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Wavy, flat terrain  uneven treadway  slight elevation change,N/A,B047,No,-73.89321900231968,40.684355900003645
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.8926637123456,40.683481449278695
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.89218696961628,40.682779339656676
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level, flat and smooth,N/A,B047,No,-73.89249578400671,40.683157352176956
Blue Heron Park,4 feet to less than 6 feet,Class III : Developed/Improved,Boardwalk,Level, flat terrain  uneven treadway  slight elevation change,Meadow Trail,R119,Yes,-74.17393780303964,40.53187077737118
Blue Heron Park,4 feet to less than 6 feet,Class III : Developed/Improved,Boardwalk,Level, flat terrain  uneven treadway  slight elevation change,Meadow Trail,R119,Yes,-74.17380783013286,40.5316584267567
