Park_Name,Width_ft,Class,Surface,Gen_Topog,Trail_Name,Borough,TrailMarkersInstalled,Latitude,Longitude,Difficulty
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Wavy,,Queens,No,-73.89142328286339,40.68604275177286,hard
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Queens,No,-73.89142328286339,40.68604275177286,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Queens,No,-73.8933217163303,40.68535679013549,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Queens,No,-73.89281806996978,40.684241604960384,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Queens,No,-73.89282475978078,40.68421566016316,easy
Highland Park,4 feet to less than 6 feet,Class IV : Highly Developed,Concrete,Wavy,,Queens,No,-73.89281806996978,40.684241604960384,hard
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Queens,No,-73.89282475978078,40.68421566016316,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Queens,No,-73.89366865179811,40.68514983893683,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Queens,No,-73.89332219765505,40.68534578539501,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Queens,No,-73.89262711275427,40.68469651725779,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,Blue/Orange,Queens,No,-73.89047704078808,40.68535042568334,easy
Highland Park,4 feet to less than 6 feet,Class V : Fully Developed,Paved,Level,,Queens,No,-73.88930707158413,40.68570049961336,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Queens,No,-73.88970817019639,40.68576959129656,easy
Highland Park,4 feet to less than 6 feet,Class IV : Highly Developed,Paved,Level,,Queens,No,-73.89047704078808,40.68535042568334,easy
Highland Park,4 feet to less than 6 feet,Class V : Fully Developed,Paved,Wavy,,Queens,No,-73.889702629256,40.68437423247413,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Brooklyn,No,-73.88676267134271,40.68493676317495,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Brooklyn,No,-73.8888666844417,40.68315752086595,easy
Highland Park,Over 8 feet,Class V : Fully Developed,Paved,Level,,Brooklyn,No,-73.8888666844417,40.68315752086595,easy
Highland Park,6 feet to less than 8 feet,Class V : Fully Developed,Paved,Level,,Brooklyn,No,-73.88676267134271,40.68493676317495,hard
